Exercise,Equipment,Exercise Type,Muscle Group,Notes,Modifications,Alt Equip,Sets,Reps
Squat,"Bar,Dumbbells,Body Weight,Squat Rack,Band",Weight,"Legs - Quads,Glutes",Bar + 45LB,Easier: air squat,"Filled water bottle 1L = 1Kg, Robe ties",2-3,8-12
Squat to Lateral Leg Lift,Band,Weight,"Legs - Quads,Outer Thigh",,,Robe ties,2-3,8-12
Standing Glute Kickbaks,Band,Weight,Legs - Glutes,,Easier: do this without the band. Use an,Robe ties,2-3,12-20  per side
Standing Oblique Crunch,Dumbbells,Weight,Core - Oblique,20LB Weight Minimum,,Filled water bottle 1L = 1Kg,1-2,12-15  per side
Sumo Squat,"Bar,Dumbbells,Body Weight",Weight,"Legs - Inner Thigh, Outer Thigh",Bar + 35LB. You want your legs to be just wide enough that your knees still track over your toes,,Filled water bottle 1L = 1Kg,2-3,8-12
Superman,Body Weight,Weight,Back,,"Easier: alternate lifting. Lift your arms from the ground first, then your legs from the ground.",,1-2,20 per side
Touchdown,Body Weight,Plyo,Full Body,,,,2-3,1 minute each side
Tricep Overhead Press,Dumbbells,Weight,Arms - Tricep,,,Filled water bottle 1L = 1Kg,2-3,6-8
Twisted Mountain Climbers,"Body Weight,Bosu Ball",Cardio,"Full Body, Core - Oblique",,,"Chair, Steps",1-2,6-8
Weighted Jumping Jacks,Dumbbells,Cardio,Full Body,,Easier: Step out instead of jumping,Filled water bottle 1L = 1Kg,1-2,6-8
Weighted Punches,Dumbbells,Cardio,Core,,Easier: Punch without weights,Filled water bottle 1L = 1Kg,2-3,15  per side
Deadbug,Body Weight,Weight,Core,Really good if you have lower back pain and want to do an ab workout,,,1-2,5-10 per side
